Seed,H1_max,H1_avg,H1_count,height_max,total_steps,stopping_time,max_value,odd_steps,max_consecutive_odds,sum_of_values,peak_ratio
1,0.0,0.0,0,0,0,,1,1,1,1.0,1.0
2,0.0,0.0,0,0,1,1,2,1,1,3.0,1.0
3,0.41421353816986084,0.41421353816986084,1,2,7,6,16,3,1,49.0,5.333333333333333
4,0.0,0.0,0,0,2,1,4,1,1,7.0,1.0
5,0.41421353816986084,0.41421353816986084,1,2,5,3,16,2,1,36.0,3.2
6,0.41421353816986084,0.41421353816986084,1,2,8,1,16,3,1,55.0,2.6666666666666665
7,0.41421353816986084,0.41421353816986084,2,6,16,11,52,6,1,288.0,7.428571428571429
8,0.41421353816986084,0.41421353816986084,1,0,3,1,8,1,1,15.0,1.0
9,0.41421353816986084,0.41421353816986084,3,6,19,3,52,7,1,339.0,5.777777777777778
10,0.41421353816986084,0.41421353816986084,1,2,6,1,16,2,1,46.0,1.6
11,0.41421353816986084,0.41421353816986084,2,6,14,8,52,5,1,259.0,4.7272727272727275
12,0.41421353816986084,0.41421353816986084,1,2,9,1,16,3,1,67.0,1.3333333333333333
13,0.41421353816986084,0.41421353816986084,2,3,9,3,40,3,1,119.0,3.076923076923077
14,0.41421353816986084,0.41421353816986084,2,6,17,1,52,6,1,302.0,3.7142857142857144
15,0.41421353816986084,0.41421353816986084,2,5,17,11,160,6,1,694.0,10.666666666666666
16,0.41421353816986084,0.41421353816986084,1,1,4,1,16,1,1,31.0,1.0
17,0.41421353816986084,0.41421353816986084,2,6,12,3,52,4,1,214.0,3.0588235294117645
18,0.41421353816986084,0.41421353816986084,3,6,20,1,52,7,1,357.0,2.888888888888889
19,0.41421353816986084,0.41421353816986084,5,8,20,6,88,7,1,519.0,4.631578947368421
20,0.41421353816986084,0.41421353816986084,1,2,7,1,20,2,1,66.0,1.0
21,0.41421353816986084,0.41421353816986084,1,4,7,3,64,2,1,148.0,3.0476190476190474
22,0.41421353816986084,0.41421353816986084,2,6,15,1,52,5,1,281.0,2.3636363636363638
23,0.41421353816986084,0.41421353816986084,2,5,15,8,160,5,1,633.0,6.956521739130435
24,0.41421353816986084,0.41421353816986084,2,2,10,1,24,3,1,91.0,1.0
25,0.41421353816986084,0.41421353816986084,5,11,23,3,88,8,1,658.0,3.52
26,0.41421353816986084,0.41421353816986084,2,4,10,1,40,3,1,145.0,1.5384615384615385
27,1.0,0.42780156930287677,30,38,111,96,9232,42,1,101440.0,341.9259259259259
28,0.41421353816986084,0.41421353816986084,2,6,18,1,52,6,1,330.0,1.8571428571428572
29,0.41421353816986084,0.41421353816986084,3,7,18,3,88,6,1,442.0,3.0344827586206895
30,0.41421353816986084,0.41421353816986084,2,5,18,1,160,6,1,724.0,5.333333333333333
31,1.0,0.428270122100567,29,38,106,91,9232,40,1,101104.0,297.80645161290323
32,0.41421353816986084,0.41421353816986084,1,2,5,1,32,1,1,63.0,1.0
33,0.41421353816986084,0.41421353816986084,7,11,26,3,100,9,1,841.0,3.0303030303030303
34,0.41421353816986084,0.41421353816986084,2,6,13,1,52,4,1,248.0,1.5294117647058822
35,0.41421353816986084,0.41421353816986084,2,5,13,6,160,4,1,540.0,4.571428571428571
36,0.41421353816986084,0.41421353816986084,3,6,21,1,52,7,1,393.0,1.4444444444444444
37,0.41421353816986084,0.41421353816986084,3,8,21,3,112,7,1,535.0,3.027027027027027
38,0.41421353816986084,0.41421353816986084,5,9,21,1,88,7,1,557.0,2.3157894736842106
39,0.41421353816986084,0.41421353816986084,6,15,34,13,304,12,1,2344.0,7.794871794871795
40,0.41421353816986084,0.41421353816986084,2,2,8,1,40,2,1,106.0,1.0
